step,time_days,p_min,p_max,phi_min,phi_max,sigma_T_min,sigma_T_max,source_rate_min,source_rate_max,fixed_stress_iterations,pressure_newton_iterations
61,3.0500000000e+02,-8.8336070286e+03,6.3183952095e+07,6.7710439903e-02,8.0400638804e-02,-3.5533167745e+07,-2.3900114579e+07,-7.6075044273e-03,8.2233747089e-04,3,2
62,3.1000000000e+02,-8.7508278518e+03,6.2378278473e+07,6.7709360600e-02,8.0230590372e-02,-3.5384470360e+07,-2.3905894080e+07,-3.6588089122e-03,1.6011498281e-04,3,2
63,3.1500000000e+02,-8.6704986543e+03,6.1852394672e+07,6.7708308457e-02,8.0118064178e-02,-3.5287895693e+07,-2.3911528992e+07,-2.3065893332e-03,1.1428141763e-05,3,2
64,3.2000000000e+02,-8.5925239549e+03,6.1507851495e+07,6.7707282083e-02,8.0044870061e-02,-3.5224645255e+07,-2.3917022971e+07,-1.6680363596e-03,1.1092884045e-05,3,2
65,3.2500000000e+02,-8.5168250629e+03,6.1323209049e+07,6.7706280403e-02,8.0003638643e-02,-3.5186897829e+07,-2.3922378811e+07,-1.3057264675e-03,1.0766969836e-05,3,2
66,3.3000000000e+02,-5.1623567825e+04,6.1312078147e+07,6.7699946850e-02,7.9998608481e-02,-3.5179024004e+07,-2.3920047886e+07,-1.0791168459e-03,-4.6418304547e-06,3,2
67,3.3500000000e+02,-5.1102821797e+04,6.1311668048e+07,6.7698927084e-02,7.9996234789e-02,-3.5177198418e+07,-2.3925071863e+07,-9.2766145228e-04,9.9650057743e-06,3,2
68,3.4000000000e+02,-5.0676183612e+04,6.1311336584e+07,6.7698020835e-02,7.9994340228e-02,-3.5175716393e+07,-2.3930074366e+07,-8.2145214269e-04,9.8790579008e-06,3,2
69,3.4500000000e+02,-5.0265349168e+04,6.1311060347e+07,6.7697150368e-02,7.9992777001e-02,-3.5174477164e+07,-2.3934961098e+07,-7.4415067505e-04,9.6120273974e-06,3,2
70,3.5000000000e+02,-4.9868538951e+04,6.1310824505e+07,6.7696304466e-02,7.9991453088e-02,-3.5173416371e+07,-2.3939724547e+07,-6.8613016725e-04,9.3330768720e-06,3,2
71,3.5500000000e+02,-4.9484744919e+04,6.1310619201e+07,6.7695480611e-02,7.9990308189e-02,-3.5172490972e+07,-2.3944367615e+07,-6.4137821377e-04,9.0625790518e-06,3,2
72,3.6000000000e+02,-8.0337717816e+03,6.9968357665e+07,6.7699775974e-02,8.1615848157e-02,-3.6596931833e+07,-2.3956081100e+07,-5.5082815414e-04,3.6758336586e-02,4,2
73,3.6500000000e+02,-7.9848946319e+03,6.9983112060e+07,6.7699069169e-02,8.1684436643e-02,-3.6562428577e+07,-2.3960576041e+07,-8.9223845926e-04,8.2556967085e-03,3,2
